ID,Source,Destination,Target,Type,Delivered,Search_Path_Length,Connection_Path_Length,Search_Path,Connection_Path
4002,7,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,7>5,7>5
4003,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,4,0,8>6>8>6>8,8
4004,9,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,9>0,9>0
4005,5,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,0,0,5,5
4006,9,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,9>0>5,9>0>5
4007,6,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,6>8,6>8
4008,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
4009,2,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,2>0,2>0
4010,0,0,0.901112,class peersim.dht.message.OneWayPingMessage,false,4,0,0>2>0>2>0,0
4011,5,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,5>1,5>1
4012,9,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,0,0,9,9
4013,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,5>1>4>1>4>1>4,4
4014,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,5>1>4>1>4>1>4,4
4015,6,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,3,3,6>8>7>5,6>8>7>5
4016,7,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,7>1>4,7>1>4
4017,3,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>2,3>8>2
4018,0,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,0>2,0>2
4019,5,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,5>7>3,5>7>3
4020,3,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,3>7,3>7
4021,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,4>6>8>6>8>6>8,8
4022,0,0,0.901112,class peersim.dht.message.OneWayPingMessage,false,6,0,8>2>0>2>0>2>0,0
4023,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,8,0,5>7>8>6>8>6>8>6>8,8
4024,6,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,6>8,6>8
4025,8,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,8>7>5,8>7>5
4026,8,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,8>7,8>7
4027,0,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,0,0,0,0
4028,8,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,8>3,8>3
4029,2,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,0,0,2,2
4030,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
4031,4,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,2,2,4>6>8,4>6>8
4032,8,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,0,0,8,8
4033,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,4,0,9>0>9>0>9,9
4034,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,4,0,4>1>4>1>4,4
4035,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,9>1>4>1>4>1>4,4
4036,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,6>8>6>8>6,6
4037,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,4,0,4>1>4>1>4,4
4038,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,3>8>6>8>6>8>6,6
