ID,Source,Destination,Target,Type,Delivered,Search_Path_Length,Connection_Path_Length,Search_Path,Connection_Path
6066,3,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,4,4,3>8>2>0>1,3>8>2>0>1
6067,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,4,0,8>6>8>6>8,8
6068,5,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,5>1>4,5>1>4
6069,0,0,0.901112,class peersim.dht.message.OneWayPingMessage,false,6,0,8>2>0>2>0>2>0,0
6070,3,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,0,0,3,3
6071,1,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,1>5,1>5
6072,1,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,1>4,1>4
6073,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,4>6>8>6>8>6>8,8
6074,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,7>1>4>1>4>1>4,4
6075,7,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,7>1,7>1
6076,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,4,0,9>0>9>0>9,9
6077,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,4,0,6>8>6>8>6,6
6078,0,0,0.901112,class peersim.dht.message.OneWayPingMessage,false,6,0,8>2>0>2>0>2>0,0
6079,9,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,9>0>5,9>0>5
6080,4,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,0,0,4,4
6081,2,2,0.901112,class peersim.dht.message.OneWayPingMessage,false,4,0,2>0>2>0>2,2
6082,8,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,8>3,8>3
6083,0,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,0>1,0>1
6084,2,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,2>8,2>8
6085,2,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,2>0,2>0
6086,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
6087,8,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,8>2,8>2
6088,8,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,0,0,8,8
6089,4,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,3,3,4>6>8>7,4>6>8>7
6090,8,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,1,1,8>6,8>6
6091,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,7>8>6>8>6>8>6,6
6092,2,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,0,0,2,2
6093,5,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,5>7>3,5>7>3
6094,2,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,2>8,2>8
6095,7,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,7>8>6,7>8>6
6096,2,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,3,3,2>8>7>5,2>8>7>5
6097,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,4,0,6>8>6>8>6,6
6098,4,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,2,2,4>6>8,4>6>8
6099,5,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,5>0,5>0
6100,2,2,0.901112,class peersim.dht.message.OneWayPingMessage,false,4,0,2>0>2>0>2,2
6101,2,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,3,3,2>8>7>5,2>8>7>5
6102,8,8,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,8>6>8>6>8,8
6103,2,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>6,2>8>6
6104,6,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,6>1,6>1
6105,9,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,9>1>4,9>1>4
6106,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,6>8>6>8>6,6
6107,2,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,2,2,2>0>1,2>0>1
6108,8,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,0,0,8,8
6109,0,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,0>5>7,0>5>7
6110,0,0,0.901112,class peersim.dht.message.OneWayPingMessage,false,4,0,0>2>0>2>0,0
6111,9,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,9>0,9>0
6112,5,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,5>1,5>1
6113,8,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,8>3,8>3
6114,1,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,1>7>3,1>7>3
6115,8,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,8>3,8>3
6116,2,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,2,2,2>0>1,2>0>1
6117,5,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,5>0,5>0
6118,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,3>8>6>8>6>8>6,6
6119,3,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>2,3>8>2
6120,3,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>2,3>8>2
6121,1,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,1>7,1>7
6122,3,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,3>7,3>7
6123,1,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,1>4,1>4
6124,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,4,0,4>1>4>1>4,4
6125,6,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,6>8>7,6>8>7
6126,8,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,0,0,8,8
6127,1,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,1>0,1>0
6128,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,3>8>6>8>6>8>6,6
6129,1,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,1>5,1>5
6130,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
6131,1,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,1>0,1>0
6132,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,6>8>6>8>6,6
6133,9,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,9>1,9>1
6134,8,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,8>7>5,8>7>5
6135,2,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,0,0,2,2
6136,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,8,0,5>7>8>6>8>6>8>6>8,8
6137,7,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,7>5,7>5
6138,8,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,8>7,8>7
6139,4,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,4>1,4>1
6140,8,8,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,8>6>8>6>8,8
6141,5,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,5>0,5>0
6142,6,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,6>8,6>8
6143,4,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,4,4,4>6>8>7>5,4>6>8>7>5
6144,4,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,3,3,4>6>8>7,4>6>8>7
6145,6,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,6>4,6>4
6146,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,6>8>6>8>6,6
6147,5,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,5>0,5>0
6148,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,7>8>6>8>6>8>6,6
6149,3,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>6,3>8>6
6150,8,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,8>3,8>3
6151,8,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,8>3,8>3
6152,5,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,5>7>3,5>7>3
6153,5,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,5>7>3,5>7>3
6154,2,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,2>0,2>0
6155,8,8,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,8>6>8>6>8,8
6156,6,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,6>8>7,6>8>7
6157,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
6158,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,5>1>4>1>4>1>4,4
6159,3,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,3>7>5,3>7>5
