ID,Source,Destination,Target,Type,Delivered,Search_Path_Length,Connection_Path_Length,Search_Path,Connection_Path
2002,2,2,0.901112,class peersim.dht.message.OneWayPingMessage,false,8,0,3>8>2>0>2>0>2>0>2,2
2003,1,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,1>9,1>9
2004,3,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>6,3>8>6
2005,4,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,4>1,4>1
2006,7,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,7>5,7>5
2007,0,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,0>5>7,0>5>7
2008,9,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,0,0,9,9
2009,6,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,6>4,6>4
2010,0,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,0>5,0>5
2011,0,0,0.901112,class peersim.dht.message.OneWayPingMessage,false,6,0,8>2>0>2>0>2>0,0
2012,2,2,0.901112,class peersim.dht.message.OneWayPingMessage,false,4,0,2>0>2>0>2,2
2013,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,4>6>8>6>8>6>8,8
2014,7,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,7>3,7>3
2015,4,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,4>1,4>1
2016,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,2>8>6>8>6>8>6,6
2017,3,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>6,3>8>6
2018,0,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,0>1,0>1
2019,3,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,4,4,3>8>2>0>1,3>8>2>0>1
2020,8,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,3,3,8>2>0>1,8>2>0>1
2021,3,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,3>7,3>7
2022,6,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,0,0,6,6
2023,3,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,3>8,3>8
2024,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,7>1>4>1>4>1>4,4
2025,8,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,8>7,8>7
2026,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,4,0,4>1>4>1>4,4
2027,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
2028,2,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>6,2>8>6
2029,6,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,6>8,6>8
2030,6,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,6>8,6>8
2031,8,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,8>3,8>3
2032,0,0,0.514105,class peersim.dht.message.OneWayPingMessage,false,4,0,0>9>0>9>0,0
2033,1,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,1>4,1>4
2034,7,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,7>8,7>8
2035,7,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,7>5,7>5
2036,8,8,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,8>6>8>6>8,8
2037,0,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,0>5,0>5
2038,1,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,1>7,1>7
2039,8,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,8>7>5,8>7>5
2040,6,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,6>1,6>1
2041,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
2042,3,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>2,3>8>2
2043,5,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,0,0,5,5
2044,5,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,5>0,5>0
2045,8,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,1,1,8>6,8>6
2046,2,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,2>8,2>8
2047,0,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,0>2,0>2
2048,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,4,0,9>0>9>0>9,9
2049,6,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,6>4,6>4
2050,3,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,0,0,3,3
2051,1,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,0,0,1,1
2052,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,6,0,7>8>6>8>6>8>6,6
