ID,Source,Destination,Target,Type,Delivered,Search_Path_Length,Connection_Path_Length,Search_Path,Connection_Path
5002,9,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,9>0>5,9>0>5
5003,0,0,0.580265,class peersim.dht.message.OneWayPingMessage,false,4,0,0>9>0>9>0,0
5004,6,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,6>8,6>8
5005,2,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,2>8,2>8
5006,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,4,0,8>6>8>6>8,8
5007,5,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,5>1,5>1
5008,3,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,0,0,3,3
5009,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,8,0,5>7>8>6>8>6>8>6>8,8
5010,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,6,0,7>8>6>8>6>8>6,6
5011,8,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,8>7,8>7
5012,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,3>8>6>8>6>8>6,6
5013,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,6,0,7>8>6>8>6>8>6,6
5014,0,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,0>5>7,0>5>7
5015,7,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,7>8,7>8
5016,3,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,3>8,3>8
5017,3,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,3>7>5,3>7>5
5018,9,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,4,4,9>0>5>7>3,9>0>5>7>3
5019,2,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>3,2>8>3
5020,3,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,3>7>5,3>7>5
5021,4,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,3,3,4>6>8>3,4>6>8>3
5022,2,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,2,2,2>0>1,2>0>1
5023,0,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,0>2,0>2
5024,2,2,0.901112,class peersim.dht.message.OneWayPingMessage,false,4,0,2>0>2>0>2,2
5025,4,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,1,1,4>6,4>6
5026,3,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,3>7,3>7
5027,9,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,9>1>4,9>1>4
5028,4,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,4,4,4>6>8>7>5,4>6>8>7>5
5029,4,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,2,2,4>6>8,4>6>8
5030,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,4,0,9>0>9>0>9,9
5031,2,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,2,2,2>0>1,2>0>1
5032,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,4,0,9>0>9>0>9,9
5033,9,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,3,3,9>0>5>7,9>0>5>7
5034,8,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,1,1,8>6,8>6
5035,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,9>1>4>1>4>1>4,4
5036,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,6,0,7>8>6>8>6>8>6,6
5037,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,7>1>4>1>4>1>4,4
5038,5,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,5>7>3,5>7>3
5039,6,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,0,0,6,6
5040,9,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,0,0,9,9
5041,2,2,0.901112,class peersim.dht.message.OneWayPingMessage,false,8,0,3>8>2>0>2>0>2>0>2,2
5042,6,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,6>8,6>8
5043,0,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,0>5>7,0>5>7
5044,4,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,3,3,4>6>8>3,4>6>8>3
5045,3,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>6,3>8>6
5046,3,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>6,3>8>6
5047,6,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,6>4,6>4
5048,6,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,6>8,6>8
5049,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,4,0,9>0>9>0>9,9
5050,0,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,0>9,0>9
5051,2,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>3,2>8>3
5052,0,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,0>2,0>2
5053,6,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,6>8,6>8
5054,0,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,0>5>7,0>5>7
5055,9,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,9>1>4,9>1>4
5056,1,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,1>5,1>5
5057,0,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,0>5,0>5
5058,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,7>8>6>8>6>8>6,6
5059,0,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,0>9,0>9
5060,1,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,1>4,1>4
5061,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,4,0,4>1>4>1>4,4
5062,2,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,2>0,2>0
5063,0,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,0>5>7,0>5>7
5064,7,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,7>1>4,7>1>4
5065,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,4,0,8>6>8>6>8,8
5066,6,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,6>8>7,6>8>7
5067,8,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,0,0,8,8
5068,5,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,5>1>4,5>1>4
5069,0,0,0.901112,class peersim.dht.message.OneWayPingMessage,false,4,0,0>2>0>2>0,0
5070,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,6>8>6>8>6,6
5071,5,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,5>0,5>0
5072,1,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,1>9,1>9
5073,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,9>1>4>1>4>1>4,4
5074,3,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,0,0,3,3
