ID,Source,Destination,Target,Type,Delivered,Search_Path_Length,Connection_Path_Length,Search_Path,Connection_Path
2,5,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,5>1>4,5>1>4
3,2,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,3,3,2>8>7>5,2>8>7>5
4,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
5,8,8,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,8>6>8>6>8,8
6,3,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>2,3>8>2
7,7,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,7>3,7>3
8,3,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,3>7,3>7
9,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,9>1>4>1>4>1>4,4
10,7,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,7>1,7>1
11,1,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,1>7,1>7
12,9,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,9>1,9>1
13,9,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,9>0>5,9>0>5
14,0,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,0>2,0>2
15,0,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,0>9,0>9
16,9,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,4,4,9>0>5>7>3,9>0>5>7>3
17,0,0,0.901112,class peersim.dht.message.OneWayPingMessage,false,4,0,0>2>0>2>0,0
18,7,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,7>5,7>5
19,9,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,9>0>5,9>0>5
20,3,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,3>7,3>7
21,8,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,8>3,8>3
22,3,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,3>8,3>8
23,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
24,0,0,0.901112,class peersim.dht.message.OneWayPingMessage,false,4,0,0>2>0>2>0,0
25,0,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,0>1,0>1
26,0,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,0>2,0>2
27,3,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,3>7>5,3>7>5
28,6,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,3,3,6>8>7>5,6>8>7>5
29,2,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,0,0,2,2
30,0,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,0>2,0>2
31,8,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,8>7,8>7
32,4,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,0,0,4,4
33,6,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,6>8,6>8
34,9,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,9>0,9>0
35,5,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,5>1>4,5>1>4
36,7,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,0,0,7,7
37,7,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,7>3,7>3
38,3,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>6,3>8>6
39,4,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,1,1,4>6,4>6
40,1,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,1>9,1>9
41,2,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,2>8,2>8
42,0,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,3,3,0>5>7>3,0>5>7>3
43,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,4,0,6>8>6>8>6,6
44,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
45,4,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,1,1,4>6,4>6
46,9,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,9>1>4,9>1>4
47,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
48,2,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>3,2>8>3
49,0,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,0>5,0>5
50,9,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,0,0,9,9
51,7,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,7>3,7>3
52,4,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,3,3,4>6>8>3,4>6>8>3
53,4,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,0,0,4,4
54,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,2>8>6>8>6>8>6,6
55,9,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,9>0,9>0
56,2,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,2,2,2>0>1,2>0>1
57,5,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,5>7,5>7
58,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,7>1>4>1>4>1>4,4
59,9,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,9>0,9>0
60,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,6>8>6>8>6,6
61,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,4,0,8>6>8>6>8,8
62,1,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,1>7,1>7
63,8,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,1,1,8>6,8>6
64,0,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,0>2,0>2
65,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,6>1>4>1>4>1>4,4
66,1,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,1>7>3,1>7>3
67,7,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,7>8>6,7>8>6
68,9,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,9>0,9>0
69,7,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,7>1,7>1
70,2,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,2,2,2>0>1,2>0>1
71,6,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,6>8>7,6>8>7
72,2,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>7,2>8>7
73,3,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>6,3>8>6
74,7,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,7>3,7>3
75,5,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,5>1,5>1
76,0,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,0>5>7,0>5>7
77,7,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,7>3,7>3
78,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
79,4,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,4>1,4>1
80,0,0,0.901112,class peersim.dht.message.OneWayPingMessage,false,4,0,0>2>0>2>0,0
81,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
82,4,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,2,2,4>6>8,4>6>8
83,5,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,5>7,5>7
84,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,6>8>6>8>6,6
85,6,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,6>8>7,6>8>7
86,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,6,0,3>8>6>8>6>8>6,6
87,2,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,2>0,2>0
88,8,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,0,0,8,8
89,0,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,0>1,0>1
90,7,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,7>3,7>3
91,3,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>2,3>8>2
92,6,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,3,3,6>8>7>5,6>8>7>5
93,2,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,3,3,2>8>7>5,2>8>7>5
94,2,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,2>0,2>0
95,0,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,0>5,0>5
96,0,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,0>1,0>1
97,4,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,3,3,4>6>8>7,4>6>8>7
98,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,7>1>4>1>4>1>4,4
99,8,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,8>7,8>7
