ID,Source,Destination,Target,Type,Delivered,Search_Path_Length,Connection_Path_Length,Search_Path,Connection_Path
8002,2,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,0,0,2,2
8003,0,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,0>5,0>5
8004,3,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,4,4,3>8>2>0>1,3>8>2>0>1
8005,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,7>8>6>8>6>8>6,6
8006,3,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,3>7>5,3>7>5
8007,3,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>2,3>8>2
8008,0,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,3,3,0>5>7>3,0>5>7>3
8009,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,4>6>8>6>8>6>8,8
8010,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,6,0,7>8>6>8>6>8>6,6
8011,3,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,3>7,3>7
8012,9,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,3,3,9>0>5>7,9>0>5>7
8013,9,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,9>1>4,9>1>4
8014,9,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,9>1>4,9>1>4
8015,0,0,0.514105,class peersim.dht.message.OneWayPingMessage,false,4,0,0>9>0>9>0,0
8016,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,5>1>4>1>4>1>4,4
8017,2,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>3,2>8>3
8018,3,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>6,3>8>6
8019,6,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,6>8>3,6>8>3
8020,4,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,4>1,4>1
8021,3,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,3>8,3>8
8022,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,7>8>6>8>6>8>6,6
8023,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,6>1>4>1>4>1>4,4
8024,0,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,0,0,0,0
8025,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,6,0,7>8>6>8>6>8>6,6
8026,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,7>1>4>1>4>1>4,4
8027,6,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,6>4,6>4
8028,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
8029,3,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,3>8,3>8
8030,7,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,7>8,7>8
8031,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,6>1>4>1>4>1>4,4
8032,8,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,1,1,8>6,8>6
8033,1,1,0.945257,class peersim.dht.message.OneWayPingMessage,false,4,0,1>4>1>4>1,1
8034,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,6,0,7>8>6>8>6>8>6,6
8035,1,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,1,1,1>6,1>6
8036,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,2>8>6>8>6>8>6,6
8037,7,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,7>1>4,7>1>4
8038,4,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,4,4,4>6>8>7>5,4>6>8>7>5
8039,3,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,3>7>5,3>7>5
8040,7,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,7>1>4,7>1>4
8041,1,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,1>9,1>9
8042,0,0,0.580265,class peersim.dht.message.OneWayPingMessage,false,4,0,0>9>0>9>0,0
8043,6,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,0,0,6,6
8044,1,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,0,0,1,1
8045,8,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,8>7>5,8>7>5
8046,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,6,0,7>8>6>8>6>8>6,6
8047,9,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,0,0,9,9
8048,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,4,0,9>0>9>0>9,9
8049,4,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,3,3,4>6>8>3,4>6>8>3
8050,1,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,0,0,1,1
8051,1,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,1>5,1>5
8052,9,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,9>0,9>0
8053,6,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,6>1,6>1
8054,1,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,1>0,1>0
8055,3,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,4,4,3>8>2>0>1,3>8>2>0>1
8056,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
8057,9,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,9>1,9>1
8058,0,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,0>5,0>5
8059,1,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,1>7>3,1>7>3
8060,9,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,0,0,9,9
8061,8,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,8>2,8>2
8062,6,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,6>8>7,6>8>7
8063,0,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,0>5,0>5
8064,4,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,0,0,4,4
8065,2,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>3,2>8>3
8066,4,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,0,0,4,4
8067,1,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,1>7>3,1>7>3
8068,8,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,0,0,8,8
8069,0,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,0>9,0>9
8070,1,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,0,0,1,1
8071,0,0,0.901112,class peersim.dht.message.OneWayPingMessage,false,4,0,0>2>0>2>0,0
8072,2,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,3,3,2>8>7>5,2>8>7>5
8073,8,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,8>7>5,8>7>5
8074,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,4,0,4>1>4>1>4,4
8075,4,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,2,2,4>6>8,4>6>8
8076,8,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,8>2,8>2
8077,0,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,0>5,0>5
8078,1,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,1>7,1>7
8079,8,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,8>7,8>7
8080,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,8,0,5>7>8>6>8>6>8>6>8,8
8081,5,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,5>7,5>7
8082,3,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,4,4,3>8>2>0>1,3>8>2>0>1
8083,7,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,7>3,7>3
8084,4,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,4,4,4>6>8>7>5,4>6>8>7>5
8085,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,7>8>6>8>6>8>6,6
8086,0,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,0,0,0,0
8087,0,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,0>5,0>5
8088,2,2,0.901112,class peersim.dht.message.OneWayPingMessage,false,8,0,3>8>2>0>2>0>2>0>2,2
8089,6,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,3,3,6>8>7>5,6>8>7>5
8090,2,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,0,0,2,2
8091,8,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,8>7>5,8>7>5
8092,1,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,2,2,1>6>8,1>6>8
8093,7,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,7>8,7>8
8094,2,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,2>8,2>8
8095,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,6,0,3>8>6>8>6>8>6,6
8096,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,2>8>6>8>6>8>6,6
8097,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,4,0,6>8>6>8>6,6
8098,5,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,5>0,5>0
8099,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
8100,9,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,4,4,9>0>5>7>3,9>0>5>7>3
8101,5,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,0,0,5,5
8102,2,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>7,2>8>7
8103,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,5>1>4>1>4>1>4,4
8104,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,4,0,9>0>9>0>9,9
8105,0,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,0>5>7,0>5>7
8106,3,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,4,4,3>8>2>0>1,3>8>2>0>1
8107,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
8108,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,4,0,9>0>9>0>9,9
8109,0,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,0>2,0>2
8110,2,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,2>8,2>8
8111,8,8,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,8>6>8>6>8,8
8112,7,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,7>1,7>1
8113,8,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,8>7>5,8>7>5
8114,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,4,0,4>1>4>1>4,4
8115,0,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,0>2,0>2
8116,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,4>6>8>6>8>6>8,8
8117,3,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>2,3>8>2
8118,6,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,6>8>3,6>8>3
8119,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,5>1>4>1>4>1>4,4
8120,6,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,6>8>7,6>8>7
8121,3,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>6,3>8>6
8122,3,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,0,0,3,3
8123,0,0,0.901112,class peersim.dht.message.OneWayPingMessage,false,4,0,0>2>0>2>0,0
8124,6,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,6>1,6>1
8125,6,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,6>1,6>1
8126,0,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,0>2,0>2
8127,5,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,5>7>3,5>7>3
8128,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,7>1>4>1>4>1>4,4
8129,1,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,1>7,1>7
8130,8,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,8>7>5,8>7>5
8131,9,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,0,0,9,9
8132,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,4,0,9>0>9>0>9,9
8133,4,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,2,2,4>6>8,4>6>8
8134,2,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>6,2>8>6
8135,1,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,1>4,1>4
8136,1,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,1>9,1>9
8137,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,3>8>6>8>6>8>6,6
8138,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,4>6>8>6>8>6>8,8
8139,0,0,0.580265,class peersim.dht.message.OneWayPingMessage,false,4,0,0>9>0>9>0,0
8140,3,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,3>8,3>8
8141,1,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,1>5,1>5
8142,5,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,5>0,5>0
8143,1,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,1>0,1>0
8144,0,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,0>2,0>2
8145,1,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,0,0,1,1
8146,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
8147,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,4,0,9>0>9>0>9,9
8148,9,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,4,4,9>0>5>7>3,9>0>5>7>3
8149,6,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,6>4,6>4
8150,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,4,0,8>6>8>6>8,8
8151,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,6>1>4>1>4>1>4,4
8152,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,7>8>6>8>6>8>6,6
8153,9,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,9>1,9>1
8154,9,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,3,3,9>0>5>7,9>0>5>7
8155,8,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,8>2,8>2
8156,1,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,1,1,1>7,1>7
8157,5,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,5>7>3,5>7>3
8158,4,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,4,4,4>6>8>7>5,4>6>8>7>5
8159,9,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,0,0,9,9
