ID,Source,Destination,Target,Type,Delivered,Search_Path_Length,Connection_Path_Length,Search_Path,Connection_Path
7002,1,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,1,1,1>4,1>4
7003,2,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>3,2>8>3
7004,9,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,1,1,9>0,9>0
7005,6,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,2,2,6>8>3,6>8>3
7006,1,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,1,1,1>6,1>6
7007,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,6,0,3>8>6>8>6>8>6,6
7008,8,8,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,8>6>8>6>8,8
7009,5,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,0,0,5,5
7010,6,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,6>1,6>1
7011,1,1,0.945257,class peersim.dht.message.OneWayPingMessage,false,4,0,1>4>1>4>1,1
7012,7,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,7>3,7>3
7013,9,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,3,3,9>0>5>7,9>0>5>7
7014,2,2,0.901112,class peersim.dht.message.OneWayPingMessage,false,8,0,3>8>2>0>2>0>2>0>2,2
7015,8,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,1,1,8>3,8>3
7016,0,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,0>1,0>1
7017,3,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,2,2,3>8>2,3>8>2
7018,1,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,1>9,1>9
7019,6,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,6>8,6>8
7020,9,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,4,4,9>0>5>7>3,9>0>5>7>3
7021,7,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,7>5,7>5
7022,0,0,0.901112,class peersim.dht.message.OneWayPingMessage,false,6,0,8>2>0>2>0>2>0,0
7023,9,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,9>1>4,9>1>4
7024,2,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,0,0,2,2
7025,8,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,3,3,8>2>0>1,8>2>0>1
7026,9,9,0.580265,class peersim.dht.message.OneWayPingMessage,false,6,0,5>0>9>0>9>0>9,9
7027,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,2>8>6>8>6>8>6,6
7028,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,7>1>4>1>4>1>4,4
7029,0,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,0>9,0>9
7030,0,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,0,0,0,0
7031,9,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,0,0,9,9
7032,8,8,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,8>6>8>6>8,8
7033,4,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,0,0,4,4
